algorithm_seed,counts_json,distinct,effective_1,effective_10,effective_20,effective_5,first_generation_json,instance_seed,longest_dwell,run_id,transitions
303,"{""Region"": 85, ""TOU"": 6185}",2,2,2,2,2,"{""Region"": 1, ""TOU"": 1}",7102,5350,type_i_D03I_TOU_soft_j50_i7102_a303_g50,30
101,"{""Demand"": 3965, ""Normal"": 120, ""Region"": 1664, ""Resource"": 126}",4,4,4,4,4,"{""Demand"": 1, ""Normal"": 5, ""Region"": 1, ""Resource"": 1}",7101,140,type_i_D03I_Demand_strong_j50_i7101_a101_g50,279
202,"{""Demand"": 1490, ""Region"": 3499, ""Resource"": 176}",3,3,3,3,3,"{""Demand"": 1, ""Region"": 1, ""Resource"": 1}",7101,153,type_i_D03I_Demand_strong_j50_i7101_a202_g50,220
303,"{""Demand"": 3861, ""Normal"": 162, ""Region"": 1042, ""Resource"": 180}",4,4,4,4,4,"{""Demand"": 1, ""Normal"": 12, ""Region"": 1, ""Resource"": 1}",7101,105,type_i_D03I_Demand_strong_j50_i7101_a303_g50,279
101,"{""Demand"": 3919, ""Normal"": 216, ""Region"": 525, ""Resource"": 1240}",4,4,4,4,4,"{""Demand"": 1, ""Normal"": 23, ""Region"": 1, ""Resource"": 1}",7102,135,type_i_D03I_Demand_strong_j50_i7102_a101_g50,368
202,"{""Demand"": 4943, ""Normal"": 1644, ""Region"": 563, ""Resource"": 55}",4,4,4,4,4,"{""Demand"": 1, ""Normal"": 12, ""Region"": 1, ""Resource"": 1}",7102,160,type_i_D03I_Demand_strong_j50_i7102_a202_g50,259
303,"{""Demand"": 2802, ""Normal"": 40, ""Region"": 2716, ""Resource"": 112}",4,4,4,4,4,"{""Demand"": 1, ""Normal"": 45, ""Region"": 1, ""Resource"": 1}",7102,115,type_i_D03I_Demand_strong_j50_i7102_a303_g50,257
101,"{""Compressible"": 10, ""Demand"": 4693, ""Region"": 1502}",3,3,3,2,3,"{""Compressible"": 1, ""Demand"": 1, ""Region"": 1}",7101,3255,type_i_D03I_Compressible_soft_j50_i7101_a101_g50,96
202,"{""Compressible"": 3, ""Demand"": 4174, ""Region"": 928}",3,3,2,2,2,"{""Compressible"": 1, ""Demand"": 1, ""Region"": 1}",7101,1770,type_i_D03I_Compressible_soft_j50_i7101_a202_g50,172
303,"{""Compressible"": 12, ""Demand"": 1171, ""Region"": 3937}",3,3,3,2,3,"{""Compressible"": 1, ""Demand"": 1, ""Region"": 1}",7101,3510,type_i_D03I_Compressible_soft_j50_i7101_a303_g50,88
101,"{""Compressible"": 62, ""Demand"": 5359, ""Region"": 1114}",3,3,3,3,3,"{""Compressible"": 1, ""Demand"": 1, ""Region"": 1}",7102,4195,type_i_D03I_Compressible_soft_j50_i7102_a101_g50,124
202,"{""Compressible"": 64, ""Demand"": 5902, ""Region"": 164}",3,3,3,3,3,"{""Compressible"": 1, ""Demand"": 1, ""Region"": 1}",7102,1655,type_i_D03I_Compressible_soft_j50_i7102_a202_g50,76
303,"{""Compressible"": 44, ""Demand"": 419, ""Region"": 5907}",3,3,3,3,3,"{""Compressible"": 1, ""Demand"": 1, ""Region"": 1}",7102,5695,type_i_D03I_Compressible_soft_j50_i7102_a303_g50,81
