suite,run,from_condition,to_condition,n
D03-I,type_i_D03I_Demand_strong_j50_i7101_a303_g50,Normal,Normal,129
D03-I,type_i_D03I_Demand_strong_j50_i7101_a303_g50,Resource,Demand,13
D03-I,type_i_D03I_Demand_strong_j50_i7101_a303_g50,Region,Demand,12
D03-I,type_i_D03I_Demand_strong_j50_i7101_a303_g50,Demand,Region,10
D03-I,type_i_D03I_Demand_strong_j50_i7101_a303_g50,Demand,Resource,9
D03-I,type_i_D03I_Demand_strong_j50_i7101_a303_g50,Region,Resource,3
D03-I,type_i_D03I_Demand_strong_j50_i7101_a303_g50,Demand,Normal,2
D03-I,type_i_D03I_Demand_strong_j50_i7101_a303_g50,Resource,Region,2
D03-I,type_i_D03I_Demand_strong_j50_i7102_a101_g50,Demand,Demand,3096
D03-I,type_i_D03I_Demand_strong_j50_i7102_a101_g50,Resource,Resource,970
D03-I,type_i_D03I_Demand_strong_j50_i7102_a101_g50,Region,Region,395
D03-I,type_i_D03I_Demand_strong_j50_i7102_a101_g50,Normal,Normal,170
D03-I,type_i_D03I_Demand_strong_j50_i7102_a101_g50,Region,Demand,23
D03-I,type_i_D03I_Demand_strong_j50_i7102_a101_g50,Demand,Resource,21
D03-I,type_i_D03I_Demand_strong_j50_i7102_a101_g50,Resource,Demand,17
D03-I,type_i_D03I_Demand_strong_j50_i7102_a101_g50,Demand,Region,11
D03-I,type_i_D03I_Demand_strong_j50_i7102_a101_g50,Demand,Normal,6
D03-I,type_i_D03I_Demand_strong_j50_i7102_a101_g50,Region,Resource,5
D03-I,type_i_D03I_Demand_strong_j50_i7102_a101_g50,Resource,Region,5
D03-I,type_i_D03I_Demand_strong_j50_i7102_a101_g50,Normal,Demand,1
D03-I,type_i_D03I_Demand_strong_j50_i7102_a202_g50,Demand,Demand,3933
D03-I,type_i_D03I_Demand_strong_j50_i7102_a202_g50,Normal,Normal,1305
D03-I,type_i_D03I_Demand_strong_j50_i7102_a202_g50,Region,Region,442
D03-I,type_i_D03I_Demand_strong_j50_i7102_a202_g50,Resource,Resource,39
D03-I,type_i_D03I_Demand_strong_j50_i7102_a202_g50,Demand,Normal,22
D03-I,type_i_D03I_Demand_strong_j50_i7102_a202_g50,Region,Demand,8
D03-I,type_i_D03I_Demand_strong_j50_i7102_a202_g50,Resource,Demand,4
D03-I,type_i_D03I_Demand_strong_j50_i7102_a202_g50,Normal,Demand,3
D03-I,type_i_D03I_Demand_strong_j50_i7102_a202_g50,Region,Resource,3
D03-I,type_i_D03I_Demand_strong_j50_i7102_a202_g50,Demand,Region,2
D03-I,type_i_D03I_Demand_strong_j50_i7102_a202_g50,Resource,Region,2
D03-I,type_i_D03I_Demand_strong_j50_i7102_a202_g50,Demand,Resource,1
D03-I,type_i_D03I_Demand_strong_j50_i7102_a303_g50,Demand,Demand,2210
D03-I,type_i_D03I_Demand_strong_j50_i7102_a303_g50,Region,Region,2142
D03-I,type_i_D03I_Demand_strong_j50_i7102_a303_g50,Resource,Resource,75
D03-I,type_i_D03I_Demand_strong_j50_i7102_a303_g50,Normal,Normal,31
D03-I,type_i_D03I_Demand_strong_j50_i7102_a303_g50,Region,Demand,25
D03-I,type_i_D03I_Demand_strong_j50_i7102_a303_g50,Demand,Region,19
D03-I,type_i_D03I_Demand_strong_j50_i7102_a303_g50,Region,Resource,11
D03-I,type_i_D03I_Demand_strong_j50_i7102_a303_g50,Resource,Region,8
D03-I,type_i_D03I_Demand_strong_j50_i7102_a303_g50,Resource,Demand,8
D03-I,type_i_D03I_Demand_strong_j50_i7102_a303_g50,Demand,Resource,4
D03-I,type_i_D03I_Demand_strong_j50_i7102_a303_g50,Demand,Normal,3
D03-I,type_i_D03I_KV_moderate_j50_i7101_a101_g50,Region,Region,3239
D03-I,type_i_D03I_KV_moderate_j50_i7101_a101_g50,KV,KV,404
D03-I,type_i_D03I_KV_moderate_j50_i7101_a101_g50,Compressible,Compressible,93
D03-I,type_i_D03I_KV_moderate_j50_i7101_a101_g50,Demand,Demand,13
D03-I,type_i_D03I_KV_moderate_j50_i7101_a101_g50,KV,Region,9
D03-I,type_i_D03I_KV_moderate_j50_i7101_a101_g50,Demand,KV,4
D03-I,type_i_D03I_KV_moderate_j50_i7101_a101_g50,KV,Compressible,2
D03-I,type_i_D03I_KV_moderate_j50_i7101_a101_g50,KV,Demand,2
D03-I,type_i_D03I_KV_moderate_j50_i7101_a101_g50,Compressible,Region,2
D03-I,type_i_D03I_KV_moderate_j50_i7101_a101_g50,Demand,Compressible,1
D03-I,type_i_D03I_KV_moderate_j50_i7101_a101_g50,Compressible,KV,1
D03-I,type_i_D03I_KV_moderate_j50_i7101_a101_g50,Compressible,Demand,1
D03-I,type_i_D03I_KV_moderate_j50_i7101_a101_g50,Region,Compressible,1
D03-I,type_i_D03I_KV_moderate_j50_i7101_a202_g50,Compressible,Compressible,1768
D03-I,type_i_D03I_KV_moderate_j50_i7101_a202_g50,Region,Region,852
D03-I,type_i_D03I_KV_moderate_j50_i7101_a202_g50,KV,KV,292
D03-I,type_i_D03I_KV_moderate_j50_i7101_a202_g50,Normal,Normal,240
D03-I,type_i_D03I_KV_moderate_j50_i7101_a202_g50,Compressible,Normal,106
D03-I,type_i_D03I_KV_moderate_j50_i7101_a202_g50,Demand,Demand,79
D03-I,type_i_D03I_KV_moderate_j50_i7101_a202_g50,KV,Region,6
D03-I,type_i_D03I_KV_moderate_j50_i7101_a202_g50,Normal,Compressible,3
D03-I,type_i_D03I_KV_moderate_j50_i7101_a202_g50,Compressible,KV,2
D03-I,type_i_D03I_KV_moderate_j50_i7101_a202_g50,Region,Compressible,2
D03-I,type_i_D03I_KV_moderate_j50_i7101_a202_g50,Compressible,Region,1
D03-I,type_i_D03I_KV_moderate_j50_i7101_a202_g50,Compressible,Demand,1
D03-I,type_i_D03I_KV_moderate_j50_i7101_a202_g50,KV,Compressible,1
D03-I,type_i_D03I_KV_moderate_j50_i7101_a202_g50,Demand,Compressible,1
D03-I,type_i_D03I_KV_moderate_j50_i7101_a202_g50,KV,Demand,1
D03-I,type_i_D03I_KV_moderate_j50_i7101_a202_g50,Region,Demand,1
D03-I,type_i_D03I_KV_moderate_j50_i7101_a303_g50,KV,KV,2428
D03-I,type_i_D03I_KV_moderate_j50_i7101_a303_g50,Compressible,Compressible,554
D03-I,type_i_D03I_KV_moderate_j50_i7101_a303_g50,Demand,Demand,283
D03-I,type_i_D03I_KV_moderate_j50_i7101_a303_g50,Region,Region,137
D03-I,type_i_D03I_KV_moderate_j50_i7101_a303_g50,Normal,Normal,56
D03-I,type_i_D03I_KV_moderate_j50_i7101_a303_g50,Compressible,Normal,27
D03-I,type_i_D03I_KV_moderate_j50_i7101_a303_g50,KV,Demand,11
D03-I,type_i_D03I_KV_moderate_j50_i7101_a303_g50,Demand,Compressible,8
D03-I,type_i_D03I_KV_moderate_j50_i7101_a303_g50,Compressible,Demand,3
D03-I,type_i_D03I_KV_moderate_j50_i7101_a303_g50,Normal,Compressible,2
D03-I,type_i_D03I_KV_moderate_j50_i7101_a303_g50,Region,KV,2
D03-I,type_i_D03I_KV_moderate_j50_i7101_a303_g50,Compressible,Region,1
D03-I,type_i_D03I_KV_moderate_j50_i7101_a303_g50,Demand,Region,1
D03-I,type_i_D03I_KV_moderate_j50_i7101_a303_g50,Demand,KV,1
D03-I,type_i_D03I_KV_moderate_j50_i7101_a303_g50,KV,Normal,1
D03-I,type_i_D03I_KV_moderate_j50_i7101_a303_g50,KV,Compressible,1
D03-I,type_i_D03I_KV_moderate_j50_i7102_a101_g50,Region,Region,4437
D03-I,type_i_D03I_KV_moderate_j50_i7102_a101_g50,KV,KV,232
D03-I,type_i_D03I_KV_moderate_j50_i7102_a101_g50,Compressible,Compressible,111
D03-I,type_i_D03I_KV_moderate_j50_i7102_a101_g50,Demand,Demand,56
D03-I,type_i_D03I_KV_moderate_j50_i7102_a101_g50,Compressible,Demand,5
D03-I,type_i_D03I_KV_moderate_j50_i7102_a101_g50,Demand,Compressible,3
D03-I,type_i_D03I_KV_moderate_j50_i7102_a101_g50,Demand,KV,3
D03-I,type_i_D03I_KV_moderate_j50_i7102_a101_g50,KV,Compressible,2
D03-I,type_i_D03I_KV_moderate_j50_i7102_a101_g50,Compressible,Region,2
D03-I,type_i_D03I_KV_moderate_j50_i7102_a101_g50,Demand,Region,2
D03-I,type_i_D03I_KV_moderate_j50_i7102_a101_g50,Compressible,KV,1
D03-I,type_i_D03I_KV_moderate_j50_i7102_a101_g50,KV,Demand,1
D03-I,type_i_D03I_KV_moderate_j50_i7102_a101_g50,Region,KV,1
D03-I,type_i_D03I_KV_moderate_j50_i7102_a202_g50,Region,Region,1108
D03-I,type_i_D03I_KV_moderate_j50_i7102_a202_g50,Compressible,Compressible,207
D03-I,type_i_D03I_KV_moderate_j50_i7102_a202_g50,KV,KV,205
D03-I,type_i_D03I_KV_moderate_j50_i7102_a202_g50,Demand,Demand,8
D03-I,type_i_D03I_KV_moderate_j50_i7102_a202_g50,Compressible,Region,4
D03-I,type_i_D03I_KV_moderate_j50_i7102_a202_g50,KV,Region,3
D03-I,type_i_D03I_KV_moderate_j50_i7102_a202_g50,Compressible,KV,3
D03-I,type_i_D03I_KV_moderate_j50_i7102_a202_g50,KV,Compressible,1
D03-I,type_i_D03I_KV_moderate_j50_i7102_a202_g50,Region,Compressible,1
D03-I,type_i_D03I_KV_moderate_j50_i7102_a303_g50,Normal,Normal,2508
D03-I,type_i_D03I_KV_moderate_j50_i7102_a303_g50,Demand,Demand,1195
D03-I,type_i_D03I_KV_moderate_j50_i7102_a303_g50,Region,Region,693
D03-I,type_i_D03I_KV_moderate_j50_i7102_a303_g50,Compressible,Compressible,311
D03-I,type_i_D03I_KV_moderate_j50_i7102_a303_g50,Normal,Demand,143
D03-I,type_i_D03I_KV_moderate_j50_i7102_a303_g50,KV,KV,30
D03-I,type_i_D03I_KV_moderate_j50_i7102_a303_g50,Compressible,Demand,11
D03-I,type_i_D03I_KV_moderate_j50_i7102_a303_g50,Compressible,Region,5
D03-I,type_i_D03I_KV_moderate_j50_i7102_a303_g50,Demand,Normal,5
D03-I,type_i_D03I_KV_moderate_j50_i7102_a303_g50,Region,Demand,4
D03-I,type_i_D03I_KV_moderate_j50_i7102_a303_g50,Demand,Compressible,4
D03-I,type_i_D03I_KV_moderate_j50_i7102_a303_g50,Demand,Region,2
D03-I,type_i_D03I_KV_moderate_j50_i7102_a303_g50,KV,Demand,2
D03-I,type_i_D03I_KV_moderate_j50_i7102_a303_g50,KV,Compressible,1
D03-I,type_i_D03I_KV_moderate_j50_i7102_a303_g50,KV,Region,1
D03-I,type_i_D03I_KV_moderate_j50_i7102_a303_g50,Region,KV,1
D03-I,type_i_D03I_Normal_soft_j50_i7101_a101_g50,Compressible,Compressible,3113
D03-I,type_i_D03I_Normal_soft_j50_i7101_a101_g50,Region,Region,1062
D03-I,type_i_D03I_Normal_soft_j50_i7101_a101_g50,Compressible,Region,29
D03-I,type_i_D03I_Normal_soft_j50_i7101_a101_g50,Region,Compressible,4
D03-I,type_i_D03I_Normal_soft_j50_i7101_a202_g50,Region,Region,2777
D03-I,type_i_D03I_Normal_soft_j50_i7101_a202_g50,Compressible,Compressible,741
D03-I,type_i_D03I_Normal_soft_j50_i7101_a202_g50,Region,Compressible,7
D03-I,type_i_D03I_Normal_soft_j50_i7101_a202_g50,Compressible,Region,3
D03-I,type_i_D03I_Normal_soft_j50_i7101_a303_g50,Region,Region,1621
D03-I,type_i_D03I_Normal_soft_j50_i7101_a303_g50,Compressible,Compressible,747
D03-I,type_i_D03I_Normal_soft_j50_i7101_a303_g50,Compressible,Region,5
D03-I,type_i_D03I_Normal_soft_j50_i7101_a303_g50,Region,Compressible,3
D03-I,type_i_D03I_Normal_soft_j50_i7102_a101_g50,Region,Region,5490
D03-I,type_i_D03I_Normal_soft_j50_i7102_a101_g50,Compressible,Compressible,1331
D03-I,type_i_D03I_Normal_soft_j50_i7102_a101_g50,Region,Compressible,7
D03-I,type_i_D03I_Normal_soft_j50_i7102_a101_g50,Demand,Demand,5
D03-I,type_i_D03I_Normal_soft_j50_i7102_a101_g50,Compressible,Region,5
D03-I,type_i_D03I_Normal_soft_j50_i7102_a101_g50,Compressible,Demand,1
D03-I,type_i_D03I_Normal_soft_j50_i7102_a101_g50,Demand,Compressible,1
D03-I,type_i_D03I_Normal_soft_j50_i7102_a202_g50,Region,Region,3120
D03-I,type_i_D03I_Normal_soft_j50_i7102_a202_g50,Compressible,Compressible,966
D03-I,type_i_D03I_Normal_soft_j50_i7102_a202_g50,Region,Compressible,5
D03-I,type_i_D03I_Normal_soft_j50_i7102_a202_g50,Compressible,Region,1
D03-I,type_i_D03I_Normal_soft_j50_i7102_a303_g50,Region,Region,3616
D03-I,type_i_D03I_Normal_soft_j50_i7102_a303_g50,Compressible,Compressible,560
D03-I,type_i_D03I_Normal_soft_j50_i7102_a303_g50,Compressible,Region,4
D03-I,type_i_D03I_Normal_soft_j50_i7102_a303_g50,Compressible,Demand,1
D03-I,type_i_D03I_Normal_soft_j50_i7102_a303_g50,Demand,Compressible,1
D03-I,type_i_D03I_Normal_soft_j50_i7102_a303_g50,Demand,Demand,1
D03-I,type_i_D03I_Normal_soft_j50_i7102_a303_g50,Region,Compressible,1
D03-I,type_i_D03I_Region_soft_j50_i7101_a101_g50,Region,Region,8180
D03-I,type_i_D03I_Region_soft_j50_i7101_a101_g50,Demand,Demand,67
D03-I,type_i_D03I_Region_soft_j50_i7101_a101_g50,Demand,Region,12
D03-I,type_i_D03I_Region_soft_j50_i7101_a101_g50,Region,Demand,5
D03-I,type_i_D03I_Region_soft_j50_i7101_a202_g50,Region,Region,8710
D03-I,type_i_D03I_Region_soft_j50_i7101_a202_g50,Demand,Demand,129
D03-I,type_i_D03I_Region_soft_j50_i7101_a202_g50,Region,Demand,5
D03-I,type_i_D03I_Region_soft_j50_i7101_a303_g50,Region,Region,7477
D03-I,type_i_D03I_Region_soft_j50_i7101_a303_g50,Demand,Demand,33
D03-I,type_i_D03I_Region_soft_j50_i7101_a303_g50,Demand,Region,6
D03-I,type_i_D03I_Region_soft_j50_i7102_a101_g50,Region,Region,5856
D03-I,type_i_D03I_Region_soft_j50_i7102_a101_g50,Demand,Demand,48
D03-I,type_i_D03I_Region_soft_j50_i7102_a101_g50,Demand,Region,6
D03-I,type_i_D03I_Region_soft_j50_i7102_a101_g50,Region,Demand,6
D03-I,type_i_D03I_Region_soft_j50_i7102_a202_g50,Region,Region,6132
D03-I,type_i_D03I_Region_soft_j50_i7102_a202_g50,Demand,Demand,50
D03-I,type_i_D03I_Region_soft_j50_i7102_a202_g50,Region,Demand,6
D03-I,type_i_D03I_Region_soft_j50_i7102_a303_g50,Region,Region,6331
D03-I,type_i_D03I_Region_soft_j50_i7102_a303_g50,Demand,Demand,35
D03-I,type_i_D03I_Region_soft_j50_i7102_a303_g50,Demand,Region,7
D03-I,type_i_D03I_Region_soft_j50_i7102_a303_g50,Region,Demand,3
D03-I,type_i_D03I_Resource_moderate_j50_i7101_a101_g50,Resource,Resource,4136
D03-I,type_i_D03I_Resource_moderate_j50_i7101_a202_g50,Resource,Resource,4336
D03-I,type_i_D03I_Resource_moderate_j50_i7101_a303_g50,Resource,Resource,4796
D03-I,type_i_D03I_Resource_moderate_j50_i7102_a101_g50,Resource,Resource,4756
D03-I,type_i_D03I_Resource_moderate_j50_i7102_a202_g50,Resource,Resource,3784
D03-I,type_i_D03I_Resource_moderate_j50_i7102_a303_g50,Resource,Resource,4260
D03-I,type_i_D03I_TOU_soft_j50_i7101_a101_g50,TOU,TOU,4079
D03-I,type_i_D03I_TOU_soft_j50_i7101_a101_g50,Region,Region,675
D03-I,type_i_D03I_TOU_soft_j50_i7101_a101_g50,Region,TOU,9
D03-I,type_i_D03I_TOU_soft_j50_i7101_a101_g50,TOU,Region,1
D03-I,type_i_D03I_TOU_soft_j50_i7101_a202_g50,TOU,TOU,3848
D03-I,type_i_D03I_TOU_soft_j50_i7101_a202_g50,Region,Region,27
D03-I,type_i_D03I_TOU_soft_j50_i7101_a202_g50,Region,TOU,1
D03-I,type_i_D03I_TOU_soft_j50_i7101_a303_g50,TOU,TOU,5962
D03-I,type_i_D03I_TOU_soft_j50_i7101_a303_g50,Region,Region,938
D03-I,type_i_D03I_TOU_soft_j50_i7101_a303_g50,Region,TOU,7
D03-I,type_i_D03I_TOU_soft_j50_i7101_a303_g50,TOU,Region,1
D03-I,type_i_D03I_TOU_soft_j50_i7102_a101_g50,TOU,TOU,5168
D03-I,type_i_D03I_TOU_soft_j50_i7102_a101_g50,Region,Region,816
D03-I,type_i_D03I_TOU_soft_j50_i7102_a101_g50,Region,TOU,9
D03-I,type_i_D03I_TOU_soft_j50_i7102_a101_g50,TOU,Region,3
D03-I,type_i_D03I_TOU_soft_j50_i7102_a202_g50,Region,Region,3571
D03-I,type_i_D03I_TOU_soft_j50_i7102_a202_g50,TOU,TOU,2700
D03-I,type_i_D03I_TOU_soft_j50_i7102_a202_g50,Region,TOU,1
D03-I,type_i_D03I_TOU_soft_j50_i7102_a303_g50,TOU,TOU,4947
D03-I,type_i_D03I_TOU_soft_j50_i7102_a303_g50,Region,Region,66
D03-I,type_i_D03I_TOU_soft_j50_i7102_a303_g50,TOU,Region,2
D03-I,type_i_D03I_TOU_soft_j50_i7102_a303_g50,Region,TOU,1
D03-II,type_ii_D03II_long_long_j50_i8101_a101_g50,TOU,TOU,4971
D03-II,type_ii_D03II_long_long_j50_i8101_a101_g50,Region,Region,211
D03-II,type_ii_D03II_long_long_j50_i8101_a101_g50,Demand,Demand,16
D03-II,type_ii_D03II_long_long_j50_i8101_a101_g50,Region,TOU,7
D03-II,type_ii_D03II_long_long_j50_i8101_a101_g50,TOU,Region,3
D03-II,type_ii_D03II_long_long_j50_i8101_a101_g50,Demand,TOU,2
D03-II,type_ii_D03II_long_long_j50_i8101_a101_g50,TOU,Demand,2
D03-II,type_ii_D03II_long_long_j50_i8101_a202_g50,Region,Region,4471
D03-II,type_ii_D03II_long_long_j50_i8101_a202_g50,TOU,TOU,1099
D03-II,type_ii_D03II_long_long_j50_i8101_a202_g50,Region,TOU,15
D03-II,type_ii_D03II_long_long_j50_i8101_a202_g50,Demand,Demand,7
D03-II,type_ii_D03II_long_long_j50_i8101_a202_g50,TOU,Region,6
D03-II,type_ii_D03II_long_long_j50_i8101_a202_g50,Demand,TOU,1
D03-II,type_ii_D03II_long_long_j50_i8101_a202_g50,TOU,Demand,1
D03-II,type_ii_D03II_long_long_j50_i8101_a303_g50,TOU,TOU,4856
D03-II,type_ii_D03II_long_long_j50_i8101_a303_g50,Region,Region,759
D03-II,type_ii_D03II_long_long_j50_i8101_a303_g50,Region,TOU,6
D03-II,type_ii_D03II_long_long_j50_i8101_a303_g50,TOU,Region,3
D03-II,type_ii_D03II_long_long_j50_i8102_a101_g50,TOU,TOU,3898
D03-II,type_ii_D03II_long_long_j50_i8102_a101_g50,Region,Region,135
D03-II,type_ii_D03II_long_long_j50_i8102_a101_g50,Demand,Demand,48
D03-II,type_ii_D03II_long_long_j50_i8102_a101_g50,Demand,TOU,5
D03-II,type_ii_D03II_long_long_j50_i8102_a101_g50,Region,TOU,2
D03-II,type_ii_D03II_long_long_j50_i8102_a101_g50,TOU,Demand,2
D03-II,type_ii_D03II_long_long_j50_i8102_a101_g50,TOU,Region,2
D03-II,type_ii_D03II_long_long_j50_i8102_a202_g50,TOU,TOU,4766
D03-II,type_ii_D03II_long_long_j50_i8102_a202_g50,Region,Region,260
D03-II,type_ii_D03II_long_long_j50_i8102_a202_g50,Demand,Demand,23
D03-II,type_ii_D03II_long_long_j50_i8102_a202_g50,TOU,Region,6
D03-II,type_ii_D03II_long_long_j50_i8102_a202_g50,Demand,TOU,3
D03-II,type_ii_D03II_long_long_j50_i8102_a202_g50,Region,Demand,1
D03-II,type_ii_D03II_long_long_j50_i8102_a202_g50,TOU,Demand,1
D03-II,type_ii_D03II_long_long_j50_i8102_a303_g50,TOU,TOU,4859
D03-II,type_ii_D03II_long_long_j50_i8102_a303_g50,Region,Region,265
D03-II,type_ii_D03II_long_long_j50_i8102_a303_g50,Demand,Demand,47
D03-II,type_ii_D03II_long_long_j50_i8102_a303_g50,Region,TOU,8
D03-II,type_ii_D03II_long_long_j50_i8102_a303_g50,Demand,TOU,5
D03-II,type_ii_D03II_long_long_j50_i8102_a303_g50,Region,Demand,3
D03-II,type_ii_D03II_long_long_j50_i8102_a303_g50,TOU,Demand,2
D03-II,type_ii_D03II_long_long_j50_i8102_a303_g50,TOU,Region,2
D03-II,type_ii_D03II_long_long_j50_i8102_a303_g50,Demand,Region,1
D03-II,type_ii_D03II_long_long_j50_i8103_a101_g50,TOU,TOU,5092
D03-II,type_ii_D03II_long_long_j50_i8103_a101_g50,Region,Region,90
D03-II,type_ii_D03II_long_long_j50_i8103_a101_g50,Region,TOU,5
D03-II,type_ii_D03II_long_long_j50_i8103_a101_g50,Demand,TOU,1
D03-II,type_ii_D03II_long_long_j50_i8103_a202_g50,TOU,TOU,4324
D03-II,type_ii_D03II_long_long_j50_i8103_a202_g50,Region,Region,79
D03-II,type_ii_D03II_long_long_j50_i8103_a202_g50,Region,TOU,10
D03-II,type_ii_D03II_long_long_j50_i8103_a202_g50,Demand,TOU,1
D03-II,type_ii_D03II_long_long_j50_i8103_a202_g50,TOU,Demand,1
D03-II,type_ii_D03II_long_long_j50_i8103_a202_g50,TOU,Region,1
D03-II,type_ii_D03II_long_long_j50_i8103_a303_g50,TOU,TOU,6353
D03-II,type_ii_D03II_long_long_j50_i8103_a303_g50,Region,Region,47
D03-II,type_ii_D03II_long_long_j50_i8103_a303_g50,Demand,Demand,5
D03-II,type_ii_D03II_long_long_j50_i8103_a303_g50,Compressible,Compressible,4
D03-II,type_ii_D03II_long_long_j50_i8103_a303_g50,Region,TOU,4
