suite,run,preference,processed,passes,steps
D03-I,type_i_D03I_Demand_strong_j50_i7102_a202_g50,Electricity,1700,528,2640
D03-I,type_i_D03I_Demand_strong_j50_i7102_a202_g50,Flow,1650,494,2470
D03-I,type_i_D03I_Demand_strong_j50_i7102_a303_g50,Balanced,1650,401,2005
D03-I,type_i_D03I_Demand_strong_j50_i7102_a303_g50,Electricity,1700,286,1430
D03-I,type_i_D03I_Demand_strong_j50_i7102_a303_g50,Flow,1650,447,2235
D03-I,type_i_D03I_KV_moderate_j50_i7101_a101_g50,Balanced,1650,114,570
D03-I,type_i_D03I_KV_moderate_j50_i7101_a101_g50,Electricity,1700,262,1310
D03-I,type_i_D03I_KV_moderate_j50_i7101_a101_g50,Flow,1650,567,2835
D03-I,type_i_D03I_KV_moderate_j50_i7101_a202_g50,Balanced,1650,444,2220
D03-I,type_i_D03I_KV_moderate_j50_i7101_a202_g50,Electricity,1700,114,570
D03-I,type_i_D03I_KV_moderate_j50_i7101_a202_g50,Flow,1650,281,1405
D03-I,type_i_D03I_KV_moderate_j50_i7101_a303_g50,Balanced,1650,377,1885
D03-I,type_i_D03I_KV_moderate_j50_i7101_a303_g50,Electricity,1700,235,1175
D03-I,type_i_D03I_KV_moderate_j50_i7101_a303_g50,Flow,1650,267,1335
D03-I,type_i_D03I_KV_moderate_j50_i7102_a101_g50,Balanced,1650,127,635
D03-I,type_i_D03I_KV_moderate_j50_i7102_a101_g50,Electricity,1700,125,625
D03-I,type_i_D03I_KV_moderate_j50_i7102_a101_g50,Flow,1650,962,4810
D03-I,type_i_D03I_KV_moderate_j50_i7102_a202_g50,Balanced,1650,73,365
D03-I,type_i_D03I_KV_moderate_j50_i7102_a202_g50,Electricity,1700,40,200
D03-I,type_i_D03I_KV_moderate_j50_i7102_a202_g50,Flow,1650,272,1360
D03-I,type_i_D03I_KV_moderate_j50_i7102_a303_g50,Balanced,1650,192,960
D03-I,type_i_D03I_KV_moderate_j50_i7102_a303_g50,Electricity,1700,99,495
D03-I,type_i_D03I_KV_moderate_j50_i7102_a303_g50,Flow,1650,938,4690
D03-I,type_i_D03I_Normal_soft_j50_i7101_a101_g50,Balanced,1650,119,595
D03-I,type_i_D03I_Normal_soft_j50_i7101_a101_g50,Electricity,1700,28,140
D03-I,type_i_D03I_Normal_soft_j50_i7101_a101_g50,Flow,1650,905,4525
D03-I,type_i_D03I_Normal_soft_j50_i7101_a202_g50,Balanced,1650,21,105
D03-I,type_i_D03I_Normal_soft_j50_i7101_a202_g50,Electricity,1700,33,165
D03-I,type_i_D03I_Normal_soft_j50_i7101_a202_g50,Flow,1650,828,4140
D03-I,type_i_D03I_Normal_soft_j50_i7101_a303_g50,Balanced,1650,41,205
D03-I,type_i_D03I_Normal_soft_j50_i7101_a303_g50,Electricity,1700,45,225
D03-I,type_i_D03I_Normal_soft_j50_i7101_a303_g50,Flow,1650,508,2540
D03-I,type_i_D03I_Normal_soft_j50_i7102_a101_g50,Balanced,1650,620,3100
D03-I,type_i_D03I_Normal_soft_j50_i7102_a101_g50,Electricity,1700,190,950
D03-I,type_i_D03I_Normal_soft_j50_i7102_a101_g50,Flow,1650,900,4500
D03-I,type_i_D03I_Normal_soft_j50_i7102_a202_g50,Balanced,1650,126,630
D03-I,type_i_D03I_Normal_soft_j50_i7102_a202_g50,Electricity,1700,124,620
D03-I,type_i_D03I_Normal_soft_j50_i7102_a202_g50,Flow,1650,773,3865
D03-I,type_i_D03I_Normal_soft_j50_i7102_a303_g50,Balanced,1650,211,1055
D03-I,type_i_D03I_Normal_soft_j50_i7102_a303_g50,Electricity,1700,134,670
D03-I,type_i_D03I_Normal_soft_j50_i7102_a303_g50,Flow,1650,701,3505
D03-I,type_i_D03I_Region_soft_j50_i7101_a101_g50,Balanced,1650,562,2810
D03-I,type_i_D03I_Region_soft_j50_i7101_a101_g50,Electricity,1700,871,4355
D03-I,type_i_D03I_Region_soft_j50_i7101_a101_g50,Flow,1650,633,3165
D03-I,type_i_D03I_Region_soft_j50_i7101_a202_g50,Balanced,1650,767,3835
D03-I,type_i_D03I_Region_soft_j50_i7101_a202_g50,Electricity,1700,588,2940
D03-I,type_i_D03I_Region_soft_j50_i7101_a202_g50,Flow,1650,856,4280
D03-I,type_i_D03I_Region_soft_j50_i7101_a303_g50,Balanced,1650,705,3525
D03-I,type_i_D03I_Region_soft_j50_i7101_a303_g50,Electricity,1700,571,2855
D03-I,type_i_D03I_Region_soft_j50_i7101_a303_g50,Flow,1650,603,3015
D03-I,type_i_D03I_Region_soft_j50_i7102_a101_g50,Balanced,1650,418,2090
D03-I,type_i_D03I_Region_soft_j50_i7102_a101_g50,Electricity,1700,568,2840
D03-I,type_i_D03I_Region_soft_j50_i7102_a101_g50,Flow,1650,493,2465
D03-I,type_i_D03I_Region_soft_j50_i7102_a202_g50,Balanced,1650,393,1965
D03-I,type_i_D03I_Region_soft_j50_i7102_a202_g50,Electricity,1700,529,2645
D03-I,type_i_D03I_Region_soft_j50_i7102_a202_g50,Flow,1650,625,3125
D03-I,type_i_D03I_Region_soft_j50_i7102_a303_g50,Balanced,1650,650,3250
D03-I,type_i_D03I_Region_soft_j50_i7102_a303_g50,Electricity,1700,503,2515
D03-I,type_i_D03I_Region_soft_j50_i7102_a303_g50,Flow,1650,441,2205
D03-I,type_i_D03I_Resource_moderate_j50_i7101_a101_g50,Balanced,1650,255,1275
D03-I,type_i_D03I_Resource_moderate_j50_i7101_a101_g50,Electricity,1700,333,1665
D03-I,type_i_D03I_Resource_moderate_j50_i7101_a101_g50,Flow,1650,446,2230
D03-I,type_i_D03I_Resource_moderate_j50_i7101_a202_g50,Balanced,1650,329,1645
D03-I,type_i_D03I_Resource_moderate_j50_i7101_a202_g50,Electricity,1700,429,2145
D03-I,type_i_D03I_Resource_moderate_j50_i7101_a202_g50,Flow,1650,326,1630
D03-I,type_i_D03I_Resource_moderate_j50_i7101_a303_g50,Balanced,1650,367,1835
D03-I,type_i_D03I_Resource_moderate_j50_i7101_a303_g50,Electricity,1700,381,1905
D03-I,type_i_D03I_Resource_moderate_j50_i7101_a303_g50,Flow,1650,451,2255
D03-I,type_i_D03I_Resource_moderate_j50_i7102_a101_g50,Balanced,1650,330,1650
D03-I,type_i_D03I_Resource_moderate_j50_i7102_a101_g50,Electricity,1700,330,1650
D03-I,type_i_D03I_Resource_moderate_j50_i7102_a101_g50,Flow,1650,529,2645
D03-I,type_i_D03I_Resource_moderate_j50_i7102_a202_g50,Balanced,1650,450,2250
D03-I,type_i_D03I_Resource_moderate_j50_i7102_a202_g50,Electricity,1700,157,785
D03-I,type_i_D03I_Resource_moderate_j50_i7102_a202_g50,Flow,1650,339,1695
D03-I,type_i_D03I_Resource_moderate_j50_i7102_a303_g50,Balanced,1650,314,1570
D03-I,type_i_D03I_Resource_moderate_j50_i7102_a303_g50,Electricity,1700,342,1710
D03-I,type_i_D03I_Resource_moderate_j50_i7102_a303_g50,Flow,1650,409,2045
D03-I,type_i_D03I_TOU_soft_j50_i7101_a101_g50,Balanced,1650,322,1610
D03-I,type_i_D03I_TOU_soft_j50_i7101_a101_g50,Electricity,1700,324,1620
D03-I,type_i_D03I_TOU_soft_j50_i7101_a101_g50,Flow,1650,545,2725
D03-I,type_i_D03I_TOU_soft_j50_i7101_a202_g50,Balanced,1650,269,1345
D03-I,type_i_D03I_TOU_soft_j50_i7101_a202_g50,Electricity,1700,174,870
D03-I,type_i_D03I_TOU_soft_j50_i7101_a202_g50,Flow,1650,526,2630
D03-I,type_i_D03I_TOU_soft_j50_i7101_a303_g50,Balanced,1650,572,2860
D03-I,type_i_D03I_TOU_soft_j50_i7101_a303_g50,Electricity,1700,404,2020
D03-I,type_i_D03I_TOU_soft_j50_i7101_a303_g50,Flow,1650,751,3755
D03-I,type_i_D03I_TOU_soft_j50_i7102_a101_g50,Balanced,1650,400,2000
D03-I,type_i_D03I_TOU_soft_j50_i7102_a101_g50,Electricity,1700,550,2750
D03-I,type_i_D03I_TOU_soft_j50_i7102_a101_g50,Flow,1650,549,2745
D03-I,type_i_D03I_TOU_soft_j50_i7102_a202_g50,Balanced,1650,243,1215
D03-I,type_i_D03I_TOU_soft_j50_i7102_a202_g50,Electricity,1700,707,3535
D03-I,type_i_D03I_TOU_soft_j50_i7102_a202_g50,Flow,1650,618,3090
D03-I,type_i_D03I_TOU_soft_j50_i7102_a303_g50,Balanced,1650,268,1340
D03-I,type_i_D03I_TOU_soft_j50_i7102_a303_g50,Electricity,1700,459,2295
D03-I,type_i_D03I_TOU_soft_j50_i7102_a303_g50,Flow,1650,527,2635
D03-II,type_ii_D03II_long_long_j50_i8101_a101_g50,Balanced,1650,577,2885
D03-II,type_ii_D03II_long_long_j50_i8101_a101_g50,Electricity,1700,280,1400
D03-II,type_ii_D03II_long_long_j50_i8101_a101_g50,Flow,1650,446,2230
D03-II,type_ii_D03II_long_long_j50_i8101_a202_g50,Balanced,1650,628,3140
D03-II,type_ii_D03II_long_long_j50_i8101_a202_g50,Electricity,1700,320,1600
D03-II,type_ii_D03II_long_long_j50_i8101_a202_g50,Flow,1650,452,2260
D03-II,type_ii_D03II_long_long_j50_i8101_a303_g50,Balanced,1650,523,2615
D03-II,type_ii_D03II_long_long_j50_i8101_a303_g50,Electricity,1700,334,1670
D03-II,type_ii_D03II_long_long_j50_i8101_a303_g50,Flow,1650,549,2745
D03-II,type_ii_D03II_long_long_j50_i8102_a101_g50,Balanced,1650,505,2525
D03-II,type_ii_D03II_long_long_j50_i8102_a101_g50,Electricity,1700,163,815
D03-II,type_ii_D03II_long_long_j50_i8102_a101_g50,Flow,1650,355,1775
D03-II,type_ii_D03II_long_long_j50_i8102_a202_g50,Balanced,1650,536,2680
D03-II,type_ii_D03II_long_long_j50_i8102_a202_g50,Electricity,1700,162,810
D03-II,type_ii_D03II_long_long_j50_i8102_a202_g50,Flow,1650,567,2835
D03-II,type_ii_D03II_long_long_j50_i8102_a303_g50,Balanced,1650,512,2560
D03-II,type_ii_D03II_long_long_j50_i8102_a303_g50,Electricity,1700,234,1170
D03-II,type_ii_D03II_long_long_j50_i8102_a303_g50,Flow,1650,552,2760
D03-II,type_ii_D03II_long_long_j50_i8103_a101_g50,Balanced,1650,632,3160
D03-II,type_ii_D03II_long_long_j50_i8103_a101_g50,Electricity,1700,202,1010
D03-II,type_ii_D03II_long_long_j50_i8103_a101_g50,Flow,1650,463,2315
D03-II,type_ii_D03II_long_long_j50_i8103_a202_g50,Balanced,1650,569,2845
D03-II,type_ii_D03II_long_long_j50_i8103_a202_g50,Electricity,1700,169,845
D03-II,type_ii_D03II_long_long_j50_i8103_a202_g50,Flow,1650,366,1830
D03-II,type_ii_D03II_long_long_j50_i8103_a303_g50,Balanced,1650,737,3685
D03-II,type_ii_D03II_long_long_j50_i8103_a303_g50,Electricity,1700,447,2235
D03-II,type_ii_D03II_long_long_j50_i8103_a303_g50,Flow,1650,420,2100
D03-II,type_ii_D03II_long_long_j50_i8104_a101_g50,Balanced,1650,552,2760
D03-II,type_ii_D03II_long_long_j50_i8104_a101_g50,Electricity,1700,207,1035
D03-II,type_ii_D03II_long_long_j50_i8104_a101_g50,Flow,1650,439,2195
D03-II,type_ii_D03II_long_long_j50_i8104_a202_g50,Balanced,1650,450,2250
D03-II,type_ii_D03II_long_long_j50_i8104_a202_g50,Electricity,1700,209,1045
D03-II,type_ii_D03II_long_long_j50_i8104_a202_g50,Flow,1650,574,2870
D03-II,type_ii_D03II_long_long_j50_i8104_a303_g50,Balanced,1650,504,2520
D03-II,type_ii_D03II_long_long_j50_i8104_a303_g50,Electricity,1700,241,1205
D03-II,type_ii_D03II_long_long_j50_i8104_a303_g50,Flow,1650,511,2555
D03-II,type_ii_D03II_long_long_j50_i8105_a101_g50,Balanced,1650,401,2005
D03-II,type_ii_D03II_long_long_j50_i8105_a101_g50,Electricity,1700,307,1535
D03-II,type_ii_D03II_long_long_j50_i8105_a101_g50,Flow,1650,450,2250
D03-II,type_ii_D03II_long_long_j50_i8105_a202_g50,Balanced,1650,494,2470
D03-II,type_ii_D03II_long_long_j50_i8105_a202_g50,Electricity,1700,179,895
D03-II,type_ii_D03II_long_long_j50_i8105_a202_g50,Flow,1650,410,2050
D03-II,type_ii_D03II_long_long_j50_i8105_a303_g50,Balanced,1650,583,2915
D03-II,type_ii_D03II_long_long_j50_i8105_a303_g50,Electricity,1700,393,1965
D03-II,type_ii_D03II_long_long_j50_i8105_a303_g50,Flow,1650,406,2030
