instance_id,scenario,variant,jobs,instance_seed,path,sha256,parameters_json
D3_region_jobs50_iseed2,D3_region,,50,2,instances/diagnostic/D3_region/jobs50_seed2.json,6c7897d07dfb7dc6108d625bb5b219fca39a772f4a8941c5d65498ebfaa04a45,"{""active_kw"": 100, ""compute"": [0.1, 0.15], ""compute_capacity"": 1.0, ""decode_s"": [300, 600], ""demand_rate_cny_kw"": 0.2, ""flat_region_prices_cny_kwh"": [0.25, 0.75, 1.25], ""idle_kw"": 10, ""kv_s"": [0, 15, 30], ""prefill_s"": [120, 240, 300], ""regions"": 3, ""release"": {""end_s"": 1800, ""kind"": ""uniform_grid"", ""start_s"": 0, ""step_s"": 60}, ""scenario"": ""D3_region"", ""servers_per_region"": 3, ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""variant"": null, ""vram_capacity_gb"": 16, ""vram_gb"": [2]}"
D3_region_jobs50_iseed3,D3_region,,50,3,instances/diagnostic/D3_region/jobs50_seed3.json,099da7535f4700663f5ba95c99c10cb020a610a309c3bca6ff2bf110e3041a9c,"{""active_kw"": 100, ""compute"": [0.1, 0.15], ""compute_capacity"": 1.0, ""decode_s"": [300, 600], ""demand_rate_cny_kw"": 0.2, ""flat_region_prices_cny_kwh"": [0.25, 0.75, 1.25], ""idle_kw"": 10, ""kv_s"": [0, 15, 30], ""prefill_s"": [120, 240, 300], ""regions"": 3, ""release"": {""end_s"": 1800, ""kind"": ""uniform_grid"", ""start_s"": 0, ""step_s"": 60}, ""scenario"": ""D3_region"", ""servers_per_region"": 3, ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""variant"": null, ""vram_capacity_gb"": 16, ""vram_gb"": [2]}"
D4_tou_jobs50_iseed1,D4_tou,,50,1,instances/diagnostic/D4_tou/jobs50_seed1.json,8e462a405abb89fd1cfb765dba96b8070675b6ec508526306d9131bce57efb63,"{""active_kw"": 100, ""compute"": [0.1, 0.15], ""compute_capacity"": 1.0, ""decode_s"": [600, 900, 1200], ""demand_rate_cny_kw"": 0.2, ""idle_kw"": 10, ""kv_s"": [0, 15, 30], ""prefill_s"": [300, 600], ""regions"": 3, ""release"": {""end_s"": 1200, ""kind"": ""uniform_grid"", ""start_s"": 0, ""step_s"": 60}, ""scenario"": ""D4_tou"", ""servers_per_region"": 3, ""tou_cny_kwh"": [[0, 900, 0.25], [900, 1800, 1.25], [1800, 2700, 0.2], [2700, ""coverage"", 0.45]], ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""variant"": null, ""vram_capacity_gb"": 16, ""vram_gb"": [2]}"
D4_tou_jobs50_iseed2,D4_tou,,50,2,instances/diagnostic/D4_tou/jobs50_seed2.json,157d1d17c3db52524b145f1454eeb7e1dee85b9a736f068fc2e156c04302fe92,"{""active_kw"": 100, ""compute"": [0.1, 0.15], ""compute_capacity"": 1.0, ""decode_s"": [600, 900, 1200], ""demand_rate_cny_kw"": 0.2, ""idle_kw"": 10, ""kv_s"": [0, 15, 30], ""prefill_s"": [300, 600], ""regions"": 3, ""release"": {""end_s"": 1200, ""kind"": ""uniform_grid"", ""start_s"": 0, ""step_s"": 60}, ""scenario"": ""D4_tou"", ""servers_per_region"": 3, ""tou_cny_kwh"": [[0, 900, 0.25], [900, 1800, 1.25], [1800, 2700, 0.2], [2700, ""coverage"", 0.45]], ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""variant"": null, ""vram_capacity_gb"": 16, ""vram_gb"": [2]}"
D4_tou_jobs50_iseed3,D4_tou,,50,3,instances/diagnostic/D4_tou/jobs50_seed3.json,443b2daba992100077f584526f17d8aef42137b174a6b149eb3272ce9a70ee0c,"{""active_kw"": 100, ""compute"": [0.1, 0.15], ""compute_capacity"": 1.0, ""decode_s"": [600, 900, 1200], ""demand_rate_cny_kw"": 0.2, ""idle_kw"": 10, ""kv_s"": [0, 15, 30], ""prefill_s"": [300, 600], ""regions"": 3, ""release"": {""end_s"": 1200, ""kind"": ""uniform_grid"", ""start_s"": 0, ""step_s"": 60}, ""scenario"": ""D4_tou"", ""servers_per_region"": 3, ""tou_cny_kwh"": [[0, 900, 0.25], [900, 1800, 1.25], [1800, 2700, 0.2], [2700, ""coverage"", 0.45]], ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""variant"": null, ""vram_capacity_gb"": 16, ""vram_gb"": [2]}"
D5_demand_jobs50_iseed1_single_peak,D5_demand,single_peak,50,1,instances/diagnostic/D5_demand/jobs50_seed1_single_peak.json,7eec79610a5173a329ac137115489dcfd6e50d920c153a5bff52acb00c4b5658,"{""active_kw"": 100, ""compute"": [0.15, 0.2], ""compute_capacity"": 1.0, ""decode_s"": [600, 900], ""demand_rate_cny_kw"": 20.0, ""flat_tariff_cny_kwh"": 0.45, ""idle_kw"": 10, ""kv_s"": [0, 15, 30], ""prefill_s"": [300, 600], ""regions"": 3, ""release"": {""kind"": ""single_peak"", ""mixed_peak"": {""components"": [{""end_s"": 120, ""start_s"": 0, ""step_s"": 30}, {""end_s"": 1020, ""start_s"": 900, ""step_s"": 30}, {""end_s"": 2700, ""start_s"": 1800, ""step_s"": 60}], ""weights"": [0.65, 0.3, 0.05]}, ""multi_tied_peak"": {""assignment"": ""job_index_parity"", ""batch_starts_s"": [0, 900], ""jitter_end_s"": 120, ""jitter_start_s"": 0, ""step_s"": 30}, ""single_peak"": {""components"": [{""end_s"": 120, ""start_s"": 0, ""step_s"": 30}, {""end_s"": 3600, ""start_s"": 1800, ""step_s"": 60}], ""weights"": [0.8, 0.2]}}, ""scenario"": ""D5_demand"", ""servers_per_region"": 3, ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""variant"": ""single_peak"", ""vram_capacity_gb"": 16, ""vram_gb"": [2]}"
D5_demand_jobs50_iseed2_multi_tied_peak,D5_demand,multi_tied_peak,50,2,instances/diagnostic/D5_demand/jobs50_seed2_multi_tied_peak.json,1ac8f19ba13acf75962f0fc9739d93864090c0534e2cb564761ff82e6a170f19,"{""active_kw"": 100, ""compute"": [0.15, 0.2], ""compute_capacity"": 1.0, ""decode_s"": [600, 900], ""demand_rate_cny_kw"": 20.0, ""flat_tariff_cny_kwh"": 0.45, ""idle_kw"": 10, ""kv_s"": [0, 15, 30], ""prefill_s"": [300, 600], ""regions"": 3, ""release"": {""kind"": ""multi_tied_peak"", ""mixed_peak"": {""components"": [{""end_s"": 120, ""start_s"": 0, ""step_s"": 30}, {""end_s"": 1020, ""start_s"": 900, ""step_s"": 30}, {""end_s"": 2700, ""start_s"": 1800, ""step_s"": 60}], ""weights"": [0.65, 0.3, 0.05]}, ""multi_tied_peak"": {""assignment"": ""job_index_parity"", ""batch_starts_s"": [0, 900], ""jitter_end_s"": 120, ""jitter_start_s"": 0, ""step_s"": 30}, ""single_peak"": {""components"": [{""end_s"": 120, ""start_s"": 0, ""step_s"": 30}, {""end_s"": 3600, ""start_s"": 1800, ""step_s"": 60}], ""weights"": [0.8, 0.2]}}, ""scenario"": ""D5_demand"", ""servers_per_region"": 3, ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""variant"": ""multi_tied_peak"", ""vram_capacity_gb"": 16, ""vram_gb"": [2]}"
D5_demand_jobs50_iseed3_mixed_peak,D5_demand,mixed_peak,50,3,instances/diagnostic/D5_demand/jobs50_seed3_mixed_peak.json,fd4a1cdbd10d960220d4c4f3779749af4b1e87ef67336b873f30a22fa07c8090,"{""active_kw"": 100, ""compute"": [0.15, 0.2], ""compute_capacity"": 1.0, ""decode_s"": [600, 900], ""demand_rate_cny_kw"": 20.0, ""flat_tariff_cny_kwh"": 0.45, ""idle_kw"": 10, ""kv_s"": [0, 15, 30], ""prefill_s"": [300, 600], ""regions"": 3, ""release"": {""kind"": ""mixed_peak"", ""mixed_peak"": {""components"": [{""end_s"": 120, ""start_s"": 0, ""step_s"": 30}, {""end_s"": 1020, ""start_s"": 900, ""step_s"": 30}, {""end_s"": 2700, ""start_s"": 1800, ""step_s"": 60}], ""weights"": [0.65, 0.3, 0.05]}, ""multi_tied_peak"": {""assignment"": ""job_index_parity"", ""batch_starts_s"": [0, 900], ""jitter_end_s"": 120, ""jitter_start_s"": 0, ""step_s"": 30}, ""single_peak"": {""components"": [{""end_s"": 120, ""start_s"": 0, ""step_s"": 30}, {""end_s"": 3600, ""start_s"": 1800, ""step_s"": 60}], ""weights"": [0.8, 0.2]}}, ""scenario"": ""D5_demand"", ""servers_per_region"": 3, ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""variant"": ""mixed_peak"", ""vram_capacity_gb"": 16, ""vram_gb"": [2]}"
D6_compressible_jobs50_iseed1,D6_compressible,,50,1,instances/diagnostic/D6_compressible/jobs50_seed1.json,ec7a1bedfbfb0f37e5ef55c3c708c14a17c934f0c637aec87548eb8450ae6bd7,"{""active_kw"": 100, ""compute"": [0.1, 0.15], ""compute_capacity"": 1.0, ""decode_s"": [600, 900], ""demand_rate_cny_kw"": 0.2, ""flat_tariff_cny_kwh"": 0.45, ""idle_kw"": 10, ""kv_s"": [0, 15], ""prefill_s"": [60, 120], ""regions"": 3, ""release"": {""end_s"": 7200, ""kind"": ""uniform_grid"", ""start_s"": 0, ""step_s"": 60}, ""scenario"": ""D6_compressible"", ""servers_per_region"": 3, ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""variant"": null, ""vram_capacity_gb"": 16, ""vram_gb"": [2]}"
D6_compressible_jobs50_iseed2,D6_compressible,,50,2,instances/diagnostic/D6_compressible/jobs50_seed2.json,6ee47ce3390ec696121496aae85553ce5f70a34f6e5c619885567e3bd079a737,"{""active_kw"": 100, ""compute"": [0.1, 0.15], ""compute_capacity"": 1.0, ""decode_s"": [600, 900], ""demand_rate_cny_kw"": 0.2, ""flat_tariff_cny_kwh"": 0.45, ""idle_kw"": 10, ""kv_s"": [0, 15], ""prefill_s"": [60, 120], ""regions"": 3, ""release"": {""end_s"": 7200, ""kind"": ""uniform_grid"", ""start_s"": 0, ""step_s"": 60}, ""scenario"": ""D6_compressible"", ""servers_per_region"": 3, ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""variant"": null, ""vram_capacity_gb"": 16, ""vram_gb"": [2]}"
D6_compressible_jobs50_iseed3,D6_compressible,,50,3,instances/diagnostic/D6_compressible/jobs50_seed3.json,9b30778415eca139c838bb686d6134fafba6b15039b5eda65aa69e5991467e91,"{""active_kw"": 100, ""compute"": [0.1, 0.15], ""compute_capacity"": 1.0, ""decode_s"": [600, 900], ""demand_rate_cny_kw"": 0.2, ""flat_tariff_cny_kwh"": 0.45, ""idle_kw"": 10, ""kv_s"": [0, 15], ""prefill_s"": [60, 120], ""regions"": 3, ""release"": {""end_s"": 7200, ""kind"": ""uniform_grid"", ""start_s"": 0, ""step_s"": 60}, ""scenario"": ""D6_compressible"", ""servers_per_region"": 3, ""units"": {""currency"": ""CNY"", ""energy"": ""kWh"", ""power"": ""kW"", ""time"": ""s""}, ""variant"": null, ""vram_capacity_gb"": 16, ""vram_gb"": [2]}"
